NomMunicipio,count,total_reclamacoes,media_reclamacoes,percentual
Cristalândia,73,75,1.0273972602739727,0.0015208694539828654
CAIRU,73,74,1.0136986301369864,0.0015208694539828654
São João do Caiuá,73,79,1.082191780821918,0.0015208694539828654
Diogo de Vasconcelos,73,83,1.1369863013698631,0.0015208694539828654
Japi,73,76,1.0410958904109588,0.0015208694539828654
CURIONÓPOLIS,73,77,1.0547945205479452,0.0015208694539828654
Nova Araçá,73,74,1.0136986301369864,0.0015208694539828654
SARZEDO,73,76,1.0410958904109588,0.0015208694539828654
GUARANÉSIA,73,75,1.0273972602739727,0.0015208694539828654
Jucuruçu,73,79,1.082191780821918,0.0015208694539828654
Jussari,73,74,1.0136986301369864,0.0015208694539828654
SERRANA,73,77,1.0547945205479452,0.0015208694539828654
SERROLÂNDIA,73,75,1.0273972602739727,0.0015208694539828654
TAQUARANA,73,81,1.1095890410958904,0.0015208694539828654
PACAJÁ,73,74,1.0136986301369864,0.0015208694539828654
IPANEMA,73,73,1.0,0.0015208694539828654
COARI,73,81,1.1095890410958904,0.0015208694539828654
Ribeirópolis,73,76,1.0410958904109588,0.0015208694539828654
CASTILHO,73,116,1.5890410958904109,0.0015208694539828654
ÁGUAS DE LINDÓIA,73,75,1.0273972602739727,0.0015208694539828654
ÁGUAS FORMOSAS,73,75,1.0273972602739727,0.0015208694539828654
Fernando de Noronha,72,75,1.0416666666666667,0.001500035625846114
São Félix de Balsas,72,75,1.0416666666666667,0.001500035625846114
Caraúbas do Piauí,72,77,1.0694444444444444,0.001500035625846114
BAÍA FORMOSA,72,77,1.0694444444444444,0.001500035625846114
CRAÍBAS,72,81,1.125,0.001500035625846114
Ivaí,72,73,1.0138888888888888,0.001500035625846114
Nova Bréscia,72,84,1.1666666666666667,0.001500035625846114
PARANAPANEMA,72,76,1.0555555555555556,0.001500035625846114
Nova Alvorada,72,75,1.0416666666666667,0.001500035625846114
MARTINÓPOLE,72,76,1.0555555555555556,0.001500035625846114
SALTINHO,72,72,1.0,0.001500035625846114
Nova Marilândia,72,73,1.0138888888888888,0.001500035625846114
Rebouças,72,77,1.0694444444444444,0.001500035625846114
JAGUARIÚNA,72,74,1.0277777777777777,0.001500035625846114
Vieiras,72,75,1.0416666666666667,0.001500035625846114
Mendonça,72,75,1.0416666666666667,0.001500035625846114
UBATÃ,72,73,1.0138888888888888,0.001500035625846114
Lutécia,72,72,1.0,0.001500035625846114
AIURUOCA,72,74,1.0277777777777777,0.001500035625846114
Xambrê,72,72,1.0,0.001500035625846114
Cajuri,72,73,1.0138888888888888,0.001500035625846114
Cajari,72,77,1.0694444444444444,0.001500035625846114
ALTA FLORESTA,72,86,1.1944444444444444,0.001500035625846114
QUITERIANÓPOLIS,72,76,1.0555555555555556,0.001500035625846114
Pavussu,72,78,1.0833333333333333,0.001500035625846114
Senador Alexandre Costa,72,75,1.0416666666666667,0.001500035625846114
Sarutaiá,72,75,1.0416666666666667,0.001500035625846114
Santa Margarida,72,72,1.0,0.001500035625846114
Ipiranga,72,75,1.0416666666666667,0.001500035625846114
Curvelândia,72,86,1.1944444444444444,0.001500035625846114
NOVA UNIÃO,72,78,1.0833333333333333,0.001500035625846114
Ajuricaba,72,77,1.0694444444444444,0.001500035625846114
PORTO DE PEDRAS,72,85,1.1805555555555556,0.001500035625846114
SANTO ANTÔNIO DE PÁDUA,71,77,1.0845070422535212,0.0014792017977093622
FUNDÃO,71,77,1.0845070422535212,0.0014792017977093622
SATUBA,71,73,1.028169014084507,0.0014792017977093622
Parisi,71,72,1.0140845070422535,0.0014792017977093622
ELESBÃO VELOSO,71,80,1.1267605633802817,0.0014792017977093622
NOVA PONTE,71,79,1.1126760563380282,0.0014792017977093622
SENTO SÉ,71,154,2.1690140845070425,0.0014792017977093622
Pacaraima,71,73,1.028169014084507,0.0014792017977093622
MILHÃ,71,75,1.056338028169014,0.0014792017977093622
Aveiro,71,73,1.028169014084507,0.0014792017977093622
PIATÃ,71,75,1.056338028169014,0.0014792017977093622
Itanhangá,71,76,1.0704225352112675,0.0014792017977093622
CONDEÚBA,71,75,1.056338028169014,0.0014792017977093622
SÃO DOMINGOS DO ARAGUAIA,71,78,1.0985915492957747,0.0014792017977093622
